NDVI,LST
0.723267,23.33
0.642346,2.1411538
0.625392,14.73
0.588011,23.0868422
0.574426,16.38
0.56484,15.31
0.701565,9.7716666
0.58639,9.31
0.515248,12.8033334
0.655916,21.63
0.435367,21.2980102
0.510489,11.8925
0.476959,7.9366666
0.657366,19.765
0.429191,26.8849382
0.470658,24.5988888
0.504111,8.6011112
0.630556,5.4451614
0.619727,13.99
0.65963,25.21
0.594617,25.71
0.535231,28.5822222
0.503515,23.5310526
0.697767,23.51
0.515754,10.1220628
0.499876,30.0591666
0.573963,22.884
0.457004,19.77
0.585481,17.388
0.574706,18.263067
0.526338,26.1384988
0.533474,22.42
0.495343,21.75
0.592957,19.286
0.446279,29.889275
0.629497,30.6077778
0.547747,25.29
0.487941,17.1993334
0.497609,21.1242858
0.645652,24.73
0.624658,15.93
0.477516,34.679913
0.502366,15.1
0.588011,23.0868422
0.62542,15.221024
